Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2020-11-30,19.59,383072830000,383069560000,0.329233,84.021429,0.121279,836718.330582,-24849000448,-7171999680,-109000000
2020-12-01,19.89,389088670000,389085350000,0.348592,87.557857,0.121592,852249.565356,-24849000448,-7171999680,-109000000
2020-12-02,19.48,380938160000,380934940000,0.31875,87.989286,0.12283,843670.486444,-24849000448,-7171999680,-109000000
2020-12-03,19.39,379191650000,379188400000,0.311181,85.573571,0.122957,824997.413375,-24849000448,-7171999680,-109000000
2020-12-04,19.15,374534230000,374531030000,0.293682,85.917857,0.123459,818557.382756,-24849000448,-7171999680,-109000000
2020-12-07,18.76,366965920000,366962770000,0.266196,86.176429,0.124044,811518.539591,-24849000448,-7171999680,-109000000
2020-12-08,18.56,363084740000,363081640000,0.25156,84.02,0.122077,795545.684808,-24849000448,-7171999680,-109000000
2020-12-09,18.56,363084740000,363081640000,0.250391,81.346429,0.121883,778153.78223,-24849000448,-7171999680,-109000000
2020-12-10,18.5,361920360000,361917290000,0.245149,81.001429,0.121407,757796.316883,-24849000448,-7171999680,-109000000
2020-12-11,18.38,359397610000,359394530000,0.235294,78.931429,0.121619,756116.219337,-24849000448,-7171999680,-109000000
2020-12-14,18.73,366383740000,366380620000,0.258185,79.363571,0.122075,751383.240129,-24849000448,-7171999680,-109000000
2020-12-15,18.59,363666920000,363663820000,0.247576,80.053571,0.122094,744109.88901,-24849000448,-7171999680,-109000000
2020-12-16,18.86,368906490000,368903370000,0.264344,79.535714,0.122344,731254.860197,-24849000448,-7171999680,-109000000
2020-12-17,18.8,367742140000,367739010000,0.259116,78.241429,0.121896,719172.352033,-24849000448,-7171999680,-109000000
2020-12-18,18.22,356292650000,356289620000,0.21868,74.617857,0.124323,730839.288918,-24849000448,-7171999680,-109000000
2020-12-21,18.14,354740190000,354737160000,0.212308,70.305,0.124113,732326.526774,-24849000448,-7171999680,-109000000
2020-12-22,17.76,347365940000,347362960000,0.186191,72.289286,0.125295,741177.821085,-24849000448,-7171999680,-109000000
